"age_yrBP","depth_m","deuterium_permille","temp_anomaly_C"
"4760.20654","166.65","-402.3",-1.21
"4780.67578","167.2","-396.7",-0.28
"4801.0752","167.75","-397.2",-0.37
"4821.48047","168.3","-402",-1.16
"4842.29346","168.85","-396.9",-0.32
"4862.72705","169.4","-390.9",0.67
"4882.10645","169.95","-393.4",0.25
"4901.39893","170.5","-395.9",-0.16
"4920.32568","171.05","-395.1",-0.03
"4939.11084","171.6","-392.7",0.37
"4958.24121","172.15","-389",0.98
"4977.55811","172.7","-397.9",-0.5
"4997.41162","173.25","-398.9",-0.66
"5017.63135","173.8","-396.8",-0.32
"5037.27734","174.35","-396.6",-0.29
"5056.9209","174.9","-392.7",0.36
"5077.15576","175.45","-400.6",-0.95
"5097.24316","176","-396.3",-0.24
"5117.65625","176.55","-395.6",-0.13
"5136.65674","177.1","-393.3",0.25
"5156.00537","177.65","-391.4",0.56
"5174.81885","178.2","-391.3",0.58
"5193.40039","178.75","-393.2",0.26
"5212.32373","179.3","-397.6",-0.47
"5232.35645","179.85","-395.8",-0.17
"5253.08057","180.4","-403.1",-1.38
"5273.03516","180.95","-396.3",-0.26
"5292.75488","181.5","-390.6",0.69
"5312.11328","182.05","-396",-0.21
"5331.5127","182.6","-390.6",0.68
"5350.51611","183.15","-396.3",-0.26
"5369.94189","183.7","-394.5",0.03
"5389.17773","184.25","-391.4",0.54
"5408.76025","184.8","-407.6",-2.14
"5430.22119","185.35","-401.2",-1.08
"5452.77002","185.9","-402.4",-1.28
"5474.10742","186.45","-395",-0.06
"5495.14404","187","-402.5",-1.3
"5516.06982","187.55","-407.9",-2.19
"5538.56299","188.1","-399.6",-0.82
"5560.64307","188.65","-394.6",0
"5579.5249","189.2","-387.2",1.23
"5597.93359","189.75","-396.2",-0.26
"5617.146","190.3","-394",0.1
"5636.84375","190.85","-399.1",-0.75
"5656.90234","191.4","-395.2",-0.1
"5676.67773","191.95","-396",-0.24
"5696.82275","192.5","-400.4",-0.97
"5716.83252","193.05","-391.1",0.57
"5736.2915","193.6","-399.2",-0.77
"5756.10742","194.15","-386.2",1.38
"5774.45898","194.7","-398.9",-0.72
"5793.03125","195.25","-389",0.91
"5811.41699","195.8","-388.4",1.01
"5830.54785","196.35","-400.4",-0.98
"5849.67529","196.9","-392.7",0.29
"5868.10498","197.45","-391",0.57
"5886.7168","198","-392.5",0.32
"5905.14307","198.55","-397.7",-0.54
"5925.8252","199.1","-399.8",-0.89
"5946.12646","199.65","-398.7",-0.71
"5967.26807","200.2","-403.7",-1.54
"5988.59326","200.75","-397.4",-0.5
"6008.73047","201.3","-391.7",0.45
